Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
15-01-2024 09:00,BRKSN,9.57,12.0,9.14,11.75,53041392.63,0.25,2.18,0.39,465.74,2.18,18108706.55,192.91,0.12,True,73.47,2024-01-15,22.79,0,,5.5,ATH,False,False
08-01-2024 09:00,KCHOL,142.5,158.2,142.5,155.5,99708929.0,2.7,13.0,1.54,744.16,13.0,64258063.0,55.17,0.21,True,63.71,2024-01-08,9.43,0,,ATL,160.4,False,False
08-01-2024 09:00,AKBNK,37.4,44.26,37.38,43.26,782706010.0,1.0,5.86,1.1,434.67,5.86,486804634.4,60.78,0.17,True,72.22,2024-01-08,17.62,0,,27.52,ATH,False,False
08-01-2024 09:00,HATEK,10.74,13.29,10.65,12.76,37898272.0,0.53,2.02,0.12,1542.28,2.02,22940768.8,65.2,0.26,True,57.56,2024-01-08,19.81,0,,9.66,15.3,False,False
08-01-2024 09:00,GARAN,58.3,69.2,58.3,67.8,279059530.0,1.4,9.5,1.69,461.8,9.5,170666876.0,63.51,0.15,True,69.8,2024-01-08,18.12,0,,44.16,ATH,False,False
08-01-2024 09:00,YKBNK,20.4,23.84,20.36,22.94,1608531229.0,0.9,2.54,0.46,454.59,2.54,898399600.9,79.04,0.35,True,71.44,2024-01-08,14.7,0,,ATL,ATH,False,False
02-01-2024 09:00,DESPC,28.5,34.48,27.98,33.66,2539600.0,0.82,5.16,0.86,497.22,5.16,964900.2,163.2,0.16,True,67.41,2024-01-02,18.11,0,,22.88,ATH,False,False
27-11-2023 09:00,EGEEN,10350.0,12645.0,10062.5,12645.0,468770.0,0.0,2295.0,326.09,603.79,2295.0,287203.8,63.22,0.0,True,84.21,2023-11-27,26.29,0,,ATL,ATH,False,False
27-11-2023 09:00,SASA,5.53,6.68,5.53,6.54,3333186368.0,0.14,1.0,0.06,1582.01,1.0,2093149235.2,59.24,0.14,True,55.06,2023-11-27,18.54,0,,ATL,ATH,False,False
20-11-2023 09:00,ATATP,83.15,107.4,79.05,106.3,27262526.0,1.1,23.15,6.02,284.23,23.15,10879329.2,150.59,0.05,True,83.81,2023-11-20,31.56,0,,ATL,ATH,False,False
13-11-2023 09:00,PENTA,19.99,24.44,19.91,23.28,111388879.0,1.16,3.29,0.01,41025.01,3.29,39661120.1,180.85,0.35,True,53.47,2023-11-13,16.98,0,,ATL,ATH,False,False
06-11-2023 09:00,KRSTL,9.99,12.67,9.95,12.62,60656223.0,0.05,2.63,0.34,664.53,2.63,38354780.6,58.15,0.02,True,,2023-11-06,28.25,0,,ATL,ATH,False,False
30-10-2023 09:00,CCOLA,33.14,39.03,32.7,38.08,50221166.22,0.95,4.95,0.38,1217.19,4.95,30190329.89,66.35,0.19,True,,2023-10-30,13.89,0,,30.79,ATH,False,False
23-10-2023 09:00,ERBOS,220.0,270.0,203.6,258.0,7950178.0,12.0,38.0,8.38,353.46,38.0,4414280.6,80.1,0.32,True,,2023-10-23,20.0,0,,ATL,287.4,False,False
23-10-2023 09:00,AYES,6.06,8.86,6.06,8.86,3654879.01,0.0,2.81,0.33,756.79,2.81,2321692.83,57.42,0.0,True,,2023-10-23,60.87,0,,ATL,ATH,False,False
23-10-2023 09:00,ISBIR,123.2,173.8,123.2,173.8,318033.0,0.0,50.6,7.62,563.61,50.6,209905.1,51.51,0.0,True,,2023-10-23,55.18,0,,ATL,ATH,False,False
16-10-2023 09:00,LKMNH,6.36,7.89,6.32,7.57,53664380.0,0.32,1.21,0.16,676.12,1.21,29096030.3,84.44,0.26,True,,2023-10-16,19.58,0,,ATL,ATH,False,False
09-10-2023 09:00,INTEM,160.0,210.2,154.1,210.2,2334721.0,0.0,50.2,6.22,707.07,50.2,1382825.7,68.84,0.0,True,,2023-10-09,24.75,0,,ATL,ATH,False,False
